COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000003,7,18/01/2015 16,18/01/2015 17,37,ug/m3
2000003,7,18/01/2015 17,18/01/2015 18,16,ug/m3
2000003,7,18/01/2015 18,18/01/2015 19,6,ug/m3
2000003,7,18/01/2015 19,18/01/2015 20,3,ug/m3
2000003,7,18/01/2015 20,18/01/2015 21,3,ug/m3
2000003,7,18/01/2015 21,18/01/2015 22,3,ug/m3
2000003,7,18/01/2015 22,18/01/2015 23,4,ug/m3
2000003,7,18/01/2015 23,19/01/2015 00,6,ug/m3
2000003,7,19/01/2015 00,19/01/2015 01,8,ug/m3
2000003,7,19/01/2015 01,19/01/2015 02,8,ug/m3
2000003,7,19/01/2015 03,19/01/2015 04,10,ug/m3
2000003,7,19/01/2015 04,19/01/2015 05,11,ug/m3
2000003,7,19/01/2015 05,19/01/2015 06,10,ug/m3
2000003,7,19/01/2015 06,19/01/2015 07,6,ug/m3
2000003,7,19/01/2015 07,19/01/2015 08,3,ug/m3
2000003,7,19/01/2015 08,19/01/2015 09,3,ug/m3
2000003,7,19/01/2015 09,19/01/2015 10,5,ug/m3
2000003,7,19/01/2015 10,19/01/2015 11,10,ug/m3
2000003,7,19/01/2015 11,19/01/2015 12,18,ug/m3
2000003,7,19/01/2015 12,19/01/2015 13,17,ug/m3
2000003,7,19/01/2015 13,19/01/2015 14,17,ug/m3
2000003,7,19/01/2015 14,19/01/2015 15,17,ug/m3
2000003,7,19/01/2015 15,19/01/2015 16,9,ug/m3
2000003,7,19/01/2015 16,19/01/2015 17,5,ug/m3
2000003,7,19/01/2015 17,19/01/2015 18,3,ug/m3
2000003,7,19/01/2015 18,19/01/2015 19,3,ug/m3
2000003,7,19/01/2015 19,19/01/2015 20,3,ug/m3
2000003,7,19/01/2015 20,19/01/2015 21,3,ug/m3
2000003,7,19/01/2015 21,19/01/2015 22,4,ug/m3
2000003,7,19/01/2015 22,19/01/2015 23,3,ug/m3
2000003,7,19/01/2015 23,20/01/2015 00,3,ug/m3
2000003,7,20/01/2015 00,20/01/2015 01,3,ug/m3
2000003,7,20/01/2015 01,20/01/2015 02,3,ug/m3
2000003,7,20/01/2015 03,20/01/2015 04,3,ug/m3
2000003,7,20/01/2015 04,20/01/2015 05,3,ug/m3
2000003,7,20/01/2015 05,20/01/2015 06,3,ug/m3
2000003,7,20/01/2015 06,20/01/2015 07,3,ug/m3
2000003,7,20/01/2015 07,20/01/2015 08,3,ug/m3
2000003,7,20/01/2015 08,20/01/2015 09,3,ug/m3
2000003,7,20/01/2015 09,20/01/2015 10,3,ug/m3
2000003,7,20/01/2015 10,20/01/2015 11,3,ug/m3
2000003,7,20/01/2015 11,20/01/2015 12,3,ug/m3
2000003,7,20/01/2015 12,20/01/2015 13,3,ug/m3
2000003,7,20/01/2015 13,20/01/2015 14,3,ug/m3
2000003,7,20/01/2015 14,20/01/2015 15,3,ug/m3
2000003,7,20/01/2015 15,20/01/2015 16,3,ug/m3
2000003,7,20/01/2015 16,20/01/2015 17,3,ug/m3
2000003,7,20/01/2015 17,20/01/2015 18,3,ug/m3
2000003,7,20/01/2015 18,20/01/2015 19,3,ug/m3
2000003,7,20/01/2015 19,20/01/2015 20,3,ug/m3
2000003,7,20/01/2015 20,20/01/2015 21,3,ug/m3
2000003,7,20/01/2015 21,20/01/2015 22,3,ug/m3
2000003,7,20/01/2015 22,20/01/2015 23,3,ug/m3
2000003,7,20/01/2015 23,21/01/2015 00,3,ug/m3
2000003,7,21/01/2015 00,21/01/2015 01,3,ug/m3
2000003,7,21/01/2015 01,21/01/2015 02,3,ug/m3
2000003,7,21/01/2015 03,21/01/2015 04,3,ug/m3
2000003,7,21/01/2015 04,21/01/2015 05,3,ug/m3
2000003,7,21/01/2015 05,21/01/2015 06,3,ug/m3
2000003,7,21/01/2015 06,21/01/2015 07,3,ug/m3
2000003,7,21/01/2015 07,21/01/2015 08,3,ug/m3
2000003,7,21/01/2015 08,21/01/2015 09,3,ug/m3
2000003,7,21/01/2015 09,21/01/2015 10,3,ug/m3
2000003,7,21/01/2015 10,21/01/2015 11,4,ug/m3
2000003,7,21/01/2015 11,21/01/2015 12,4,ug/m3
2000003,7,21/01/2015 12,21/01/2015 13,4,ug/m3
2000003,7,21/01/2015 13,21/01/2015 14,4,ug/m3
2000003,7,21/01/2015 14,21/01/2015 15,3,ug/m3
2000003,7,21/01/2015 15,21/01/2015 16,3,ug/m3
2000003,7,21/01/2015 16,21/01/2015 17,3,ug/m3
2000003,7,21/01/2015 17,21/01/2015 18,2,ug/m3
2000003,7,21/01/2015 18,21/01/2015 19,2,ug/m3
2000003,7,21/01/2015 19,21/01/2015 20,2,ug/m3
2000003,7,21/01/2015 20,21/01/2015 21,3,ug/m3
2000003,7,21/01/2015 21,21/01/2015 22,3,ug/m3
2000003,7,21/01/2015 22,21/01/2015 23,3,ug/m3
2000003,7,21/01/2015 23,22/01/2015 00,3,ug/m3
2000003,7,22/01/2015 00,22/01/2015 01,3,ug/m3
2000003,7,22/01/2015 01,22/01/2015 02,3,ug/m3
2000003,7,22/01/2015 03,22/01/2015 04,2,ug/m3
2000003,7,22/01/2015 04,22/01/2015 05,2,ug/m3
2000003,7,22/01/2015 05,22/01/2015 06,2,ug/m3
2000003,7,22/01/2015 06,22/01/2015 07,2,ug/m3
2000003,7,22/01/2015 07,22/01/2015 08,3,ug/m3
2000003,7,22/01/2015 08,22/01/2015 09,3,ug/m3
2000003,7,22/01/2015 09,22/01/2015 10,4,ug/m3
2000003,7,22/01/2015 10,22/01/2015 11,6,ug/m3
2000003,7,22/01/2015 11,22/01/2015 12,7,ug/m3
2000003,7,22/01/2015 12,22/01/2015 13,7,ug/m3
2000003,7,22/01/2015 13,22/01/2015 14,6,ug/m3
2000003,7,22/01/2015 14,22/01/2015 15,6,ug/m3
2000003,7,22/01/2015 15,22/01/2015 16,6,ug/m3
2000003,7,22/01/2015 16,22/01/2015 17,4,ug/m3
2000003,7,22/01/2015 17,22/01/2015 18,3,ug/m3
2000003,7,22/01/2015 18,22/01/2015 19,3,ug/m3
2000003,7,22/01/2015 19,22/01/2015 20,3,ug/m3
2000003,7,22/01/2015 20,22/01/2015 21,3,ug/m3
2000003,7,22/01/2015 21,22/01/2015 22,3,ug/m3
2000003,7,22/01/2015 22,22/01/2015 23,4,ug/m3
2000003,7,22/01/2015 23,23/01/2015 00,3,ug/m3
2000003,7,23/01/2015 00,23/01/2015 01,5,ug/m3
2000003,7,23/01/2015 01,23/01/2015 02,7,ug/m3
2000003,7,23/01/2015 03,23/01/2015 04,16,ug/m3
2000003,7,23/01/2015 04,23/01/2015 05,15,ug/m3
2000003,7,23/01/2015 05,23/01/2015 06,8,ug/m3
2000003,7,23/01/2015 06,23/01/2015 07,3,ug/m3
2000003,7,23/01/2015 07,23/01/2015 08,3,ug/m3
2000003,7,23/01/2015 08,23/01/2015 09,4,ug/m3
2000003,7,23/01/2015 09,23/01/2015 10,5,ug/m3
2000003,7,23/01/2015 10,23/01/2015 11,5,ug/m3
2000003,7,23/01/2015 11,23/01/2015 12,7,ug/m3
2000003,7,23/01/2015 12,23/01/2015 13,7,ug/m3
2000003,7,23/01/2015 13,23/01/2015 14,12,ug/m3
2000003,7,23/01/2015 14,23/01/2015 15,18,ug/m3
2000003,7,23/01/2015 15,23/01/2015 16,12,ug/m3
2000003,7,23/01/2015 16,23/01/2015 17,8,ug/m3
2000003,7,23/01/2015 17,23/01/2015 18,3,ug/m3
2000003,7,23/01/2015 18,23/01/2015 19,3,ug/m3
2000003,7,23/01/2015 19,23/01/2015 20,3,ug/m3
2000003,7,23/01/2015 20,23/01/2015 21,3,ug/m3
2000003,7,23/01/2015 21,23/01/2015 22,3,ug/m3
2000003,7,23/01/2015 22,23/01/2015 23,3,ug/m3
2000003,7,23/01/2015 23,24/01/2015 00,3,ug/m3
2000003,7,24/01/2015 00,24/01/2015 01,3,ug/m3
2000003,7,24/01/2015 01,24/01/2015 02,3,ug/m3
2000003,7,24/01/2015 03,24/01/2015 04,4,ug/m3
2000003,7,24/01/2015 04,24/01/2015 05,6,ug/m3
2000003,7,24/01/2015 05,24/01/2015 06,5,ug/m3
2000003,7,24/01/2015 06,24/01/2015 07,4,ug/m3
2000003,7,24/01/2015 07,24/01/2015 08,4,ug/m3
2000003,7,24/01/2015 08,24/01/2015 09,6,ug/m3
