refdate,pm10
2011-02-23,51.0000000
2011-02-24,53.0000000
2011-02-25,52.0000000
2011-02-26,53.0000000
2011-02-27,31.0000000
2011-02-28,34.0000000
2011-03-01,36.0000000
2011-03-02,37.0000000
2011-03-03,33.0000000
2011-03-04,48.0000000
2011-03-05,70.0000000
2011-03-06,43.0000000
2011-03-07,28.0000000
2011-03-08,41.0000000
2011-03-09,64.0000000
2011-03-10,59.0000000
2011-03-11,29.0000000
2011-03-12,40.0000000
2011-03-13,37.0000000
2011-03-14,24.0000000
2011-03-15,29.0000000
2011-03-16,10.0000000
2011-03-17,22.0000000
2011-03-18,36.0000000
2011-03-19,38.0000000
2011-03-20,20.0000000
2011-03-21,29.0000000
2011-03-22,47.0000000
2011-03-23,40.0000000
2011-03-24,42.0000000
2011-03-25,20.0000000
2011-03-26,18.0000000
2011-03-27,14.0000000
2011-03-28,16.0000000
2011-03-30,30.0000000
2011-03-31,29.0000000
2011-04-01,35.0000000
2011-04-02,45.0000000
2011-04-03,37.0000000
2011-04-04,34.0000000
2011-04-05,16.0000000
2011-04-06,30.0000000
2011-04-07,38.0000000
2011-04-08,35.0000000
2011-04-09,27.0000000
2011-04-10,25.0000000
2011-04-11,32.0000000
2011-04-12,32.0000000
2011-04-13,14.0000000
2011-04-14,19.0000000
2011-04-15,21.0000000
2011-04-16,26.0000000
2011-04-17,26.0000000
2011-04-18,31.0000000
2011-04-19,37.0000000
2011-04-20,32.0000000
2011-04-21,30.0000000
2011-04-22,34.0000000
2011-04-23,26.0000000
2011-04-24,22.0000000
2011-04-25,37.0000000
2011-04-26,30.0000000
2011-04-27,29.0000000
2011-04-28,30.0000000
2011-04-29,25.0000000
2011-04-30,23.0000000
2011-05-01,20.0000000
2011-05-02,22.0000000
2011-05-03,29.0000000
2011-05-04,20.0000000
2011-05-05,28.0000000
2011-05-06,35.0000000
2011-05-07,38.0000000
2011-05-08,24.0000000
2011-05-09,16.0000000
2011-05-10,26.0000000
2011-05-11,26.0000000
2011-05-12,21.0000000
2011-05-13,26.0000000
2011-05-14,18.0000000
2011-05-15,10.0000000
2011-05-16,12.0000000
2011-05-17,18.0000000
2011-05-18,24.0000000
2011-05-19,22.0000000
2011-05-20,24.0000000
2011-05-21,32.0000000
2011-05-22,29.0000000
2011-05-23,28.0000000
2011-05-24,27.0000000
2011-05-25,24.0000000
2011-05-26,24.0000000
2011-05-27,24.0000000
2011-05-28,9.0000000
2011-05-29,12.0000000
2011-05-30,19.0000000
2011-05-31,28.0000000
2011-06-01,23.0000000
2011-06-02,29.0000000
2011-06-03,29.0000000
2011-06-04,31.0000000
2011-06-05,21.0000000
2011-06-06,15.0000000
2011-06-07,20.0000000
2011-06-08,18.0000000
2011-06-09,15.0000000
2011-06-10,20.0000000
2011-06-11,24.0000000
2011-06-12,18.0000000
2011-06-13,28.0000000
2011-06-15,25.0000000
2011-06-16,16.0000000
2011-06-17,24.0000000
2011-06-18,22.0000000
2011-06-19,17.0000000
2011-06-20,26.0000000
2011-06-21,40.0000000
2011-06-22,35.0000000
2011-06-23,35.0000000
2011-06-24,31.0000000
2011-06-25,24.0000000
2011-06-26,29.0000000
2011-06-27,33.0000000
2011-06-28,47.0000000
2011-06-29,38.0000000
2011-06-30,29.0000000
2011-07-01,31.0000000
2011-07-02,18.0000000
2011-07-03,21.0000000
2011-07-04,29.0000000
2011-07-05,22.0000000
2011-07-06,26.0000000
2011-07-07,30.0000000
2011-07-08,35.0000000
2011-07-09,34.0000000
2011-07-10,36.0000000
2011-07-11,37.0000000
2011-07-14,26.0000000
2011-07-15,26.0000000
2011-07-16,27.0000000
2011-07-17,18.0000000
2011-07-18,18.0000000
2011-07-19,19.0000000
2011-07-20,13.0000000
2011-07-21,21.0000000
2011-07-22,24.0000000
2011-07-23,24.0000000
2011-07-24,7.0000000
2011-07-25,13.0000000
2011-07-26,18.0000000
2011-07-27,32.0000000
2011-07-28,27.0000000
2011-07-29,19.0000000
2011-07-30,14.0000000
2011-07-31,28.0000000
2011-08-01,23.0000000
2011-08-02,30.0000000
2011-08-03,26.0000000
2011-08-04,23.0000000
2011-08-05,31.0000000
2011-08-06,26.0000000
2011-08-07,24.0000000
2011-08-08,20.0000000
2011-08-09,27.0000000
2011-08-10,25.0000000
2011-08-11,25.0000000
2011-08-12,26.0000000
2011-08-13,24.0000000
2011-08-14,23.0000000
2011-08-15,25.0000000
2011-08-16,27.0000000
2011-08-17,28.0000000
2011-08-18,31.0000000
2011-08-19,24.0000000
2011-08-20,32.0000000
2011-08-21,38.0000000
2011-08-22,42.0000000
2011-08-23,38.0000000
2011-08-24,35.0000000
2011-08-25,35.0000000
2011-08-26,39.0000000
2011-08-27,30.0000000
2011-08-28,26.0000000
2011-08-29,32.0000000
2011-08-30,31.0000000
2011-08-31,30.0000000
2011-09-01,38.0000000
2011-09-02,38.0000000
2011-09-03,44.0000000
2011-09-04,41.0000000
2011-09-05,26.0000000
2011-09-06,33.0000000
2011-09-07,27.0000000
2011-09-08,35.0000000
2011-09-09,50.0000000
2011-09-10,51.0000000
2011-09-11,40.0000000
2011-09-12,40.0000000
2011-09-13,45.0000000
2011-09-14,36.0000000
2011-09-15,44.0000000
2011-09-16,35.0000000
2011-09-17,26.0000000
2011-09-18,12.0000000
2011-09-19,14.0000000
2011-09-20,21.0000000
2011-09-21,34.0000000
2011-09-22,49.0000000
2011-09-23,53.0000000
2011-09-24,52.0000000
2011-09-25,47.0000000
2011-09-26,49.0000000
2011-09-28,58.0000000
2011-09-29,60.0000000
2011-09-30,43.0000000
2011-10-01,43.0000000
2011-10-02,41.0000000
2011-10-03,43.0000000
2011-10-04,56.0000000
2011-10-05,72.0000000
2011-10-06,41.0000000
2011-10-07,23.0000000
2011-10-08,14.0000000
2011-10-09,17.0000000
2011-10-10,43.0000000
2011-10-11,56.0000000
2011-10-12,60.0000000
2011-10-13,76.0000000
2011-10-14,33.0000000
2011-10-15,48.0000000
2011-10-16,38.0000000
2011-10-17,52.0000000
2011-10-18,61.0000000
2011-10-19,70.0000000
2011-10-20,50.0000000
2011-10-21,34.0000000
2011-10-22,44.0000000
2011-10-23,48.0000000
2011-10-24,38.0000000
2011-10-27,45.0000000
2011-10-28,61.0000000
2011-10-29,70.0000000
2011-10-30,80.0000000
2011-10-31,86.0000000
2011-11-01,69.0000000
2011-11-02,66.0000000
2011-11-03,102.0000000
2011-11-04,69.0000000
2011-11-05,36.0000000
2011-11-06,23.0000000
2011-11-07,35.0000000
2011-11-08,43.0000000
2011-11-09,66.0000000
2011-11-10,65.0000000
2011-11-11,50.0000000
2011-11-12,62.0000000
2011-11-13,49.0000000
2011-11-14,61.0000000
2011-11-15,52.0000000
2011-11-16,46.0000000
2011-11-17,46.0000000
2011-11-18,63.0000000
2011-11-19,81.0000000
2011-11-20,61.0000000
2011-11-21,74.0000000
2011-11-22,81.0000000
2011-11-23,89.0000000
2011-11-24,77.0000000
2011-11-25,74.0000000
2011-11-26,86.0000000
2011-11-27,74.0000000
2011-11-28,88.0000000
2011-11-29,113.0000000
2011-11-30,84.0000000
2011-12-01,89.0000000
2011-12-02,101.0000000
2011-12-03,101.0000000
2011-12-04,94.0000000
2011-12-05,96.0000000
2011-12-06,54.0000000
2011-12-07,62.0000000
2011-12-08,61.0000000
2011-12-09,89.0000000
2011-12-10,104.0000000
2011-12-11,103.0000000
2011-12-12,98.0000000
2011-12-13,88.0000000
2011-12-14,92.0000000
2011-12-15,66.0000000
2011-12-16,47.0000000
2011-12-17,15.0000000
2011-12-18,34.0000000
2011-12-20,40.0000000
2011-12-21,59.0000000
2011-12-22,89.0000000
2011-12-23,91.0000000
2011-12-24,98.0000000
2011-12-25,64.0000000
2011-12-26,55.0000000
2011-12-27,88.0000000
2011-12-28,73.0000000
2011-12-29,75.0000000
2011-12-30,70.0000000
